Timestamp,Makine_Calisma,Insan_Toplam_Calisma,Tespit_Edilen_Insan_Sayisi,Insan_Kirma,Insan_Tasima,Insan_Kirma_Tespit,Insan_Tasima_Tespit,108_Durumu,106_Durumu,Insan_Durumu
16620,True,False,0.0,False,False,False,False,-1,-1,-1
16621,True,False,0.0,False,False,False,False,-1,-1,-1
16622,True,False,0.0,False,False,False,False,-1,-1,-1
16623,True,False,0.0,False,False,False,False,-1,-1,-1
16624,True,False,0.0,False,False,False,False,-1,-1,-1
16625,True,False,0.0,False,False,False,False,-1,-1,-1
16626,True,False,0.0,False,False,False,False,-1,-1,-1
16627,True,False,0.0,False,False,False,False,-1,-1,-1
16628,True,False,0.0,False,False,False,False,-1,-1,-1
16629,True,False,0.0,False,False,False,False,-1,-1,-1
16630,True,False,0.0,False,False,False,False,-1,-1,-1
16631,True,False,0.0,False,False,False,True,-1,1,-1
16632,True,False,0.0,False,False,False,False,-1,-1,-1
16633,True,False,0.0,False,False,False,True,-1,1,-1
16634,True,False,0.0,False,False,False,True,-1,1,-1
16635,True,False,0.0,False,False,False,True,-1,1,-1
16636,True,False,0.0,False,False,False,True,-1,1,-1
16637,True,False,0.0,False,False,False,True,-1,1,-1
16638,True,False,0.0,False,False,False,True,-1,1,-1
16639,True,False,0.0,False,False,False,True,-1,1,-1
16640,True,False,0.0,False,False,False,True,-1,1,-1
16641,True,False,2.0,False,False,False,True,-1,1,-1
16642,True,False,2.0,False,False,False,True,-1,1,-1
16643,True,False,2.0,False,False,False,True,-1,1,-1
16644,True,False,0.0,False,False,False,True,-1,1,-1
16645,True,False,0.0,False,False,False,True,-1,1,-1
16646,True,False,1.0,False,False,False,True,-1,1,-1
16647,True,False,0.0,False,False,False,False,-1,-1,-1
16648,True,False,0.0,False,False,False,False,-1,-1,-1
16649,True,False,0.0,False,False,False,False,-1,-1,-1
16650,True,False,0.0,False,False,False,False,-1,-1,-1
16651,True,False,0.0,False,False,False,False,-1,-1,-1
16652,True,False,0.0,False,False,False,False,-1,-1,-1
16653,True,False,0.0,False,False,False,False,-1,-1,-1
16654,True,False,0.0,False,False,False,False,-1,-1,-1
16655,True,False,0.0,False,False,False,False,-1,-1,-1
16656,True,False,0.0,False,False,False,False,-1,-1,-1
16657,True,False,0.0,False,False,False,False,-1,-1,-1
16658,True,False,0.0,False,False,False,False,-1,-1,-1
16659,True,False,0.0,False,False,False,False,-1,-1,-1
16660,True,False,0.0,False,False,False,False,-1,-1,-1
16661,True,False,2.0,False,False,True,False,0,-1,0
16662,True,False,1.0,False,False,True,False,0,-1,0
16663,True,False,1.0,False,False,True,False,0,-1,0
16664,True,False,1.0,False,False,True,False,0,-1,0
16665,True,False,1.0,False,False,True,False,0,-1,0
16666,True,False,1.0,False,False,True,False,0,-1,0
